check_id,check_url,last_checked_at,last_checked_status_code,supplier_name,supplier_is_beekeeper,supplier_postcode,country,sell_direct,medium,packaging_type,honey_type,next_check_at,check_enabled,latitude,longitude
68c69bd8-5e25-4001-a684-57db8517f24e,http://www.croftapiaries.co.uk/product/multi-floral-raw-honey-tub-1-35kg/,2018-11-08T15:29:22Z,200,Croft Apiaries,true,LN8 2BE,england,true,jar,plastic,wildflower,2018-11-09T12:49:27Z,true,53.4210953522243,-0.520322893868707
6a753809-8ed0-46b1-9ea7-e7099d93e961,https://www.payneshoney.co.uk/english-honey/42g-mini-pot-clear-english-honey/,2018-11-08T15:29:45Z,200,Paynes Honey,true,BN6 9NP,england,true,jar,glass,wildflower,2018-11-09T18:10:31Z,true,50.92700767,-0.162279
6aae576f-5873-48a8-90a2-7ef37d82b2c0,https://www.payneshoney.co.uk/english-honey/340g-english-honey-squeeze-bear/,2018-11-08T15:34:15Z,200,Paynes Honey,true,BN6 9NP,england,true,jar,plastic,wildflower,2018-11-09T11:16:01Z,true,50.92700767,-0.162279
6af17033-5820-11e8-8474-e4b3182e34ed,https://www.west-country-honey.co.uk/collections/honey/products/west-country-set-honey,2018-11-08T15:31:29Z,200,West Country Honey,true,BS49 5HE,england,true,jar,glass,blossom,2018-11-09T15:27:16Z,true,51.3644990553017,-2.80381557803241
6c36203a-6cd5-4de1-8bff-ede99ac72c21,http://www.thecheeseandwineshop.co.uk/products/sedgemoor-set-honey-340g.asp,2018-11-08T15:29:42Z,200,The Cheese and Wine Shop,false,TA21 8NR,england,false,jar,glass,wildflower,2018-11-09T17:05:07Z,true,50.9779260734352,-3.22683356998046
6c969440-4eca-4c8a-9980-afd48f30d4e0,https://scottishbeecompany.co.uk/product/scottish-heather-honey/,2018-11-08T17:12:04Z,1003,Scottish Bee Company,true,EH4 9EP,scotland,true,jar,glass,heather,2018-11-09T18:11:44Z,true,55.959478,-3.225591
6d60d593-0e8a-45fa-b0f5-ca911a27daff,http://www.bbha.biz/equipmentproduct.asp?Code=honeyhea227&ReturnPage=0,2018-11-08T15:31:51Z,200,Blue Bell Hill Apiaries,true,ME5 9QN,england,true,jar,glass,heather,2018-11-09T15:39:52Z,true,51.3332122757623,0.50485103214336
6f586dde-5917-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/devon-flower-honey-set-113g/,2018-11-08T15:34:10Z,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,wildflower,2018-11-09T15:39:34Z,true,51.0207915765962,-3.83726126105894
6f5872ca-5917-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/limited-edition-ivy-honey-227g/,2018-05-30T12:32:05Z,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,ivy,2018-05-31T11:14:27Z,false,51.0207915765962,-3.83726126105894
6f587554-5917-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/exmoor-heather-honey-113g/,2018-11-08T15:30:16Z,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,heather,2018-11-09T09:45:49Z,true,51.0207915765962,-3.83726126105894
6f58778e-5917-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/spring-blossom-honey/,2018-11-08T15:29:29Z,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,blossom,2018-11-09T11:20:35Z,true,51.0207915765962,-3.83726126105894
72f1eb63-5820-11e8-9dd1-e4b3182e34ed,https://www.west-country-honey.co.uk/collections/honey/products/west-country-set-honey,2018-11-08T15:29:47Z,200,West Country Honey,true,BS49 5HE,england,true,jar,glass,blossom,2018-11-09T18:25:31Z,true,51.3644990553017,-2.80381557803241
76b5a187-ef26-4b23-9eea-2ff9890ddfbf,http://www.midgleygreen.com/shop/somerset-set-honey,2018-06-20T00:00:00Z,0,Midgley Green,false,BS21 7QH,england,false,jar,glass,wildflower,2018-06-24T03:00:00Z,false,51.4418231637211,-2.85908526512726
