check_id,check_url,last_checked_at,last_checked_status_code,supplier_name,supplier_is_beekeeper,supplier_postcode,country,sell_direct,medium,packaging_type,honey_type,next_check_at,check_enabled,parser
2a5df8c6-5de9-11e8-b567-e4b3182e34ed,https://www.ottarchocolate.com/shop/diverse-nectar-honey,2018-11-24 13:23:21.813543+00:00,200,Ottar Chocolate,true,S80 3LT,england,true,jar,glass,wildflower,2018-11-25 11:05:34+00:00,true,simple
2a5dfee8-5de9-11e8-b567-e4b3182e34ed,https://www.etsy.com/uk/listing/504486184/beeloved-42g-15oz-pure-heather-honey-raw,2018-10-12 18:43:20.588649+00:00,1003,BeeLoved,true,HU8 9ER,england,true,jar,glass,heather,2018-10-13 11:39:06+00:00,false,simple
2a5dfee9-5de9-11e8-b567-e4b3182e34ed,https://www.etsy.com/uk/listing/517097879/beeloved-226g-8oz-pure-heather-honey-raw,2018-11-24 13:25:02.9997+00:00,200,BeeLoved,true,HU8 9ER,england,true,jar,glass,heather,2018-11-25 10:27:21+00:00,true,simple
2a5dff9c-5de9-11e8-b567-e4b3182e34ed,https://www.etsy.com/uk/listing/484265145/beeloved-226g-8oz-pure-yorkshire-honey,2018-11-24 13:25:20.707335+00:00,200,BeeLoved,true,HU8 9ER,england,true,jar,glass,wildflower,2018-11-25 16:53:05+00:00,true,simple
2a5dff9d-5de9-11e8-b567-e4b3182e34ed,https://www.etsy.com/uk/listing/484267569/beeloved-42g-15oz-pure-yorkshire-honey,2018-10-12 18:43:14.653609+00:00,1003,BeeLoved,true,HU8 9ER,england,true,jar,glass,wildflower,2018-10-13 12:08:23+00:00,false,simple
2a7e18ae-75c4-512e-aa4d-e5b49d1fc80a,https://honeyguides.co.uk/england/wiltshire/swindon-cotswold-water-park-honey/,2018-11-22 20:25:14.723904+00:00,200,Honeyguides,true,,,true,jar,glass,wildflower,NULL,false,bigcommerce
343d1f5b-55b0-11e8-a0b5-e4b3182e34ed,http://www.heatherhills.co.uk/scottish-honey.html?page=shop.product_details&flypage=flypage.pbv.v3.tpl&product_id=63&category_id=1,2018-05-15 06:58:24.359903+00:00,200,Heather Hills Farm,true,PH10 7JG,scotland,true,jar,glass,heather,2018-05-15 09:58:24.359903+00:00,false,simple
35715abd-55b0-11e8-a0b5-e4b3182e34ed,http://www.heatherhills.co.uk/scottish-honey.html?page=shop.product_details&flypage=flypage.pbv.v3.tpl&product_id=3&category_id=1,2018-06-17 14:42:54.998639+00:00,1000,Heather Hills Farm,true,PH10 7JG,scotland,true,jar,glass,blossom,2018-06-18 14:48:34+00:00,false,simple
35fa874d-55b0-11e8-a0b5-e4b3182e34ed,http://www.heatherhills.co.uk/scottish-honey.html?page=shop.product_details&flypage=flypage.pbv.v3.tpl&product_id=70&category_id=1,2018-11-24 13:26:11.485013+00:00,200,Heather Hills Farm,true,PH10 7JG,scotland,true,jar,glass,heather,2018-11-25 14:24:29+00:00,true,simple
367e2eb3-55b0-11e8-a0b5-e4b3182e34ed,http://www.heatherhills.co.uk/scottish-honey.html?page=shop.product_details&flypage=flypage.pbv.v3.tpl&product_id=71&category_id=1,2018-11-24 13:27:48.693517+00:00,200,Heather Hills Farm,true,PH10 7JG,scotland,true,jar,glass,blossom,2018-11-25 17:06:34+00:00,true,simple
3699c6aa-5ddb-11e8-b567-e4b3182e34ed,http://www.filbertsofdorset.co.uk/product/dorset-honey/,2018-11-24 13:27:40.188133+00:00,200,Filberts of Dorset,true,DT2 8QJ,england,true,jar,plastic,wildflower,2018-11-25 17:51:45+00:00,true,simple
3699e248-5ddb-11e8-b567-e4b3182e34ed,http://www.thehoneybcompany.co.uk/store/p8/Spring_Blossom_Soft_Set_227g.html,2018-11-24 13:26:57.757645+00:00,200,The Honey B Company,true,DL10 6HQ,england,true,jar,glass,blossom,2018-11-25 11:39:48+00:00,true,simple
3699e36a-5ddb-11e8-b567-e4b3182e34ed,http://www.thehoneybcompany.co.uk/store/p7/Spring_Blossom_Soft_Soft_340g.html,2018-11-24 13:25:44.41387+00:00,200,The Honey B Company,true,DL10 6HQ,england,true,jar,glass,blossom,2018-11-25 12:00:49+00:00,true,simple
3699e52c-5ddb-11e8-b567-e4b3182e34ed,http://www.thehoneybcompany.co.uk/store/p10/English_Heather_Honey_227g.html,2018-11-24 13:26:10.411441+00:00,200,The Honey B Company,true,DL10 6HQ,england,true,jar,glass,heather,2018-11-25 12:21:03+00:00,true,simple
3699e64e-5ddb-11e8-b567-e4b3182e34ed,http://www.thehoneybcompany.co.uk/store/p9/English_Heather_honey_340g.html,2018-11-24 13:25:09.43412+00:00,200,The Honey B Company,true,DL10 6HQ,england,true,jar,glass,heather,2018-11-25 13:42:34+00:00,true,simple
3699e766-5ddb-11e8-b567-e4b3182e34ed,http://www.thehoneybcompany.co.uk/store/p6/English_Blossom_Honey_227g.html,2018-11-24 13:25:05.051452+00:00,200,The Honey B Company,true,DL10 6HQ,england,true,jar,glass,blossom,2018-11-25 15:24:55+00:00,true,simple
3699e888-5ddb-11e8-b567-e4b3182e34ed,http://www.thehoneybcompany.co.uk/store/p5/English_Blossom_Honey_340g.html,2018-11-24 13:26:09.644996+00:00,200,The Honey B Company,true,DL10 6HQ,england,true,jar,glass,blossom,2018-11-25 18:51:52+00:00,true,simple
3699e9a0-5ddb-11e8-b567-e4b3182e34ed,http://www.thehoneybcompany.co.uk/store/p17/Spring_Blossom_Soft_Set_Plastic_Pot_600g.html,2018-11-24 13:24:00.025041+00:00,200,The Honey B Company,true,DL10 6HQ,england,true,jar,plastic,blossom,2018-11-25 12:31:28+00:00,true,simple
3699eac2-5ddb-11e8-b567-e4b3182e34ed,http://www.thehoneybcompany.co.uk/store/p16/Heather_Honey_600g_Plastic_pot.html,2018-11-24 13:24:54.852481+00:00,200,The Honey B Company,true,DL10 6HQ,england,true,jar,plastic,heather,2018-11-25 18:58:35+00:00,true,simple
3699ebd0-5ddb-11e8-b567-e4b3182e34ed,http://www.thehoneybcompany.co.uk/store/p16/Heather_Honey_600g_Plastic_pot.html,2018-05-22 17:24:06.420499+00:00,200,The Honey B Company,true,DL10 6HQ,england,true,jar,plastic,blossom,2018-05-23 14:50:16+00:00,false,simple
37b900f5-4456-59c7-807a-6b876a2b4ac2,https://www.hiveandkeeper.com/available/21qowcpsutdh9vqhu037sgdeiyglfw,2018-11-11 15:00:46.499281+00:00,200,Hive & Keeper,false,,,true,jar,glass,wildflower,NULL,false,squarespace
38842b7f-5807-11e8-9103-e4b3182e34ed,https://thelondonhoneycompany.co.uk/collections/honey/products/raw-honey-bell-heather-jar-250g,2018-10-12 18:40:33.082851+00:00,404,London Honey Company,true,SE1 2NR,england,true,jar,glass,bell-heather,2018-10-13 12:49:11+00:00,false,simple
391c369c-03b5-494b-b5c6-ddf11f40de28,http://bayviewbees.co.uk/shop/heather-honey/,2018-11-24 13:23:33.864817+00:00,200,Bayview Bees,true,YO11 3UA,england,true,jar,glass,heather,2018-11-25 13:05:17+00:00,true,simple
391c369c-03b5-494b-b5c6-ddf11f40de29,http://bayviewbees.co.uk/shop/spring-set-honey/,2018-11-24 13:23:19.486989+00:00,200,Bayview Bees,true,YO11 3UA,england,true,jar,glass,blossom,2018-11-25 16:09:58+00:00,true,simple
391c369c-03b5-494b-b5c6-ddf11f40de2a,http://bayviewbees.co.uk/shop/summer-blossom-honey/,2018-11-24 13:26:23.609812+00:00,200,Bayview Bees,true,YO11 3UA,england,true,jar,glass,blossom,2018-11-25 17:48:27+00:00,true,simple
3961b378-78b5-5d73-948a-54233474c887,https://www.hiveandkeeper.com/available/honey-from-dave-gillan-whitburn-west-lothian,2018-11-11 14:57:36.975579+00:00,200,Hive & Keeper,false,,,true,jar,glass,wildflower,NULL,false,squarespace
3a0e40da-f2d2-48e2-bfc6-99e5c7f7d025,http://www.heathcotehoney.co.uk/shop/viewitem.php?productid=0,2018-11-24 13:24:58.905028+00:00,200,Heathcote Honey,true,NG33 4EQ,england,true,jar,glass,wildflower,2018-11-25 11:49:14+00:00,true,simple
3caba70a-51b0-5ada-b697-c989853696be,https://www.hiveandkeeper.com/available/fruity-honey-from-brain-bull-braintree-essex-kgd5g-sn4sl,2018-11-21 14:40:25.392085+00:00,200,Hive & Keeper,false,,,true,jar,glass,wildflower,NULL,false,squarespace
3ee263fa-5de8-11e8-b567-e4b3182e34ed,https://www.weetons.com/product/harrogate-honey-clear-half-pound,2018-11-24 13:27:18.082555+00:00,200,Weetons Food Hall,false,HG1 1BJ,england,true,jar,glass,wildflower,2018-11-25 11:47:45+00:00,true,simple
3ee264ae-5de8-11e8-b567-e4b3182e34ed,https://www.weetons.com/product/harrogate-clear-honey,2018-11-24 13:26:40.607715+00:00,200,Weetons Food Hall,false,HG1 1BJ,england,true,jar,glass,wildflower,2018-11-25 12:13:06+00:00,true,simple
3ee26602-5de8-11e8-b567-e4b3182e34ed,https://www.weetons.com/product/harrogate-honey---soft-set,2018-11-24 13:26:12.701652+00:00,200,Weetons Food Hall,false,HG1 1BJ,england,true,jar,glass,wildflower,2018-11-25 19:41:25+00:00,true,simple
3ee26760-5de8-11e8-b567-e4b3182e34ed,https://www.weetons.com/product/harrogate-honey---half-pound-soft-set,2018-11-24 13:24:22.265588+00:00,200,Weetons Food Hall,false,HG1 1BJ,england,true,jar,glass,wildflower,2018-11-25 17:40:45+00:00,true,simple
40940039-548c-59cc-b49e-129843402e97,https://www.hiveandkeeper.com/available/21qowcpsutdh9vqhu037sgdeiyglfw,2018-11-11 15:00:46.496685+00:00,200,Hive & Keeper,false,,,true,jar,glass,wildflower,NULL,false,squarespace
44f99979-da96-4100-936c-d071b4eaef04,http://www.thebeefarmer.co.uk/webshop/honey/454g-1lb-honey/,2018-11-24 13:26:18.974187+00:00,200,The Bee Farmer,true,LE67 1AH,england,true,jar,glass,wildflower,2018-11-25 15:04:38+00:00,true,simple
5150b967-dc7b-5c5a-8f5e-1af4bf88a0cd,https://www.hiveandkeeper.com/available/fresh-little-chesterford-honey-224g-s5w9b,2018-11-11 15:02:20.512753+00:00,200,Hive & Keeper,false,,,true,jar,glass,wildflower,NULL,false,squarespace
53ca086b-3f4c-50f0-b75f-b6b12037e907,https://www.aecre.co.uk/products/longstomps-chelmsford-honey,2018-11-11 14:59:47.547471+00:00,200,Aecre Honey,false,,,true,jar,glass,wildflower,NULL,false,shopify
53d64e7f-55af-11e8-81ec-e4b3182e34ed,http://www.heatherhills.co.uk/scottish-honey.html?page=shop.product_details&flypage=flypage.pbv.v3.tpl&product_id=1&category_id=1,2018-11-24 13:26:25.800933+00:00,200,Heather Hills Farm,true,PH10 7JG,scotland,true,jar,glass,heather,2018-11-25 14:37:25+00:00,true,simple
560d7e88-e980-11e8-b1c2-e4b3182e34ed,http://honeybeeproducts.co.uk/product/creamed-honey/,2018-11-24 13:27:36.571756+00:00,200,Honey Bee Products,true,GL10 3NQ,england,true,jar,glass,wildflower,2018-11-25 11:08:33+00:00,true,simple
560d85c2-e980-11e8-b1c2-e4b3182e34ed,http://honeybeeproducts.co.uk/product/local-costwold-honey/,2018-11-24 13:27:39.609906+00:00,200,Honey Bee Products,true,GL10 3NQ,england,true,jar,glass,wildflower,2018-11-25 14:08:35+00:00,true,simple
560d8aa4-e980-11e8-b1c2-e4b3182e34ed,http://honeybeeproducts.co.uk/product/set-costwold-honey/,2018-11-24 13:26:01.810303+00:00,200,Honey Bee Products,true,GL10 3NQ,england,true,jar,glass,wildflower,2018-11-25 14:04:21+00:00,true,simple
57fd33af-8a13-4a09-a34c-8aea4cfa2e6b,http://www.thecheeseandwineshop.co.uk/products/sedgemoor-heather-honey-113g.asp,2018-11-24 13:23:07.826288+00:00,200,The Cheese and Wine Shop,false,TA21 8NR,england,false,jar,glass,heather,2018-11-25 18:39:40+00:00,true,simple
58de2cdc-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/exmoor-heather-honey-set-227g/,2018-11-24 13:26:04.712422+00:00,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,heather,2018-11-25 13:07:08+00:00,true,simple
58de313c-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/devon-flower-honey-set-227g/,2018-11-24 13:27:21.5393+00:00,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,wildflower,2018-11-25 10:01:23+00:00,true,simple
58de3376-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/devon-flower-honey-227g-clear/,2018-11-24 13:23:56.366249+00:00,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,wildflower,2018-11-25 13:03:03+00:00,true,simple
58de3556-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/exmoor-heather-honey-340g/,2018-11-24 13:26:54.143044+00:00,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,heather,2018-11-25 17:25:13+00:00,true,simple
58de3722-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/devon-flower-honey-340g/,2018-11-24 13:23:55.20305+00:00,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,wildflower,2018-11-25 19:38:50+00:00,true,simple
58de38ee-5918-11e8-b947-e4b3182e34ed,https://www.quincehoneyfarm.co.uk/shop/honey/devon-flower-honey-set-340g/,2018-11-24 13:26:24.721577+00:00,200,Quince Honey Farm,true,EX36 3AZ,england,true,jar,glass,wildflower,2018-11-25 09:49:32+00:00,true,simple
59f0842e-5dd4-11e8-b567-e4b3182e34ed,http://www.denholmegatehoney.co.uk/shop/raw-yorkshire-spring-honey/,2018-11-24 13:24:42.553269+00:00,200,Denholme Gate Honey,true,BD13 3QZ,england,true,jar,glass,blossom,2018-11-25 10:49:37+00:00,true,simple
59f088c0-5dd4-11e8-b567-e4b3182e34ed,http://www.denholmegatehoney.co.uk/shop/pure-yorkshire-summer-honey/,2018-11-24 13:27:28.80157+00:00,200,Denholme Gate Honey,true,BD13 3QZ,england,true,jar,glass,wildflower,2018-11-25 15:08:03+00:00,true,simple
59f08a96-5dd4-11e8-b567-e4b3182e34ed,http://www.denholmegatehoney.co.uk/shop/yorkshire-heather-honey/,2018-11-24 13:27:13.324103+00:00,200,Denholme Gate Honey,true,BD13 3QZ,england,true,jar,glass,heather,2018-11-25 09:23:05+00:00,true,simple
59f08b9a-5dd4-11e8-b567-e4b3182e34ed,http://www.denholmegatehoney.co.uk/shop/pollen-enriched-yorkshire-honey/,2018-11-24 13:23:47.229631+00:00,200,Denholme Gate Honey,true,BD13 3QZ,england,true,jar,glass,wildflower,2018-11-25 12:18:48+00:00,true,simple
